was_delayed,daily_rainfall,did_rain,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,event_id
False,0.0,False,US,10/17/2014,2113,N741UW,DCA,12:00,20191126204302327
False,0.03,True,US,03/10/2014,1739, ,PHL,05:30,20191126204308004
False,0.0,False,US,03/05/2014,2117,N708UW,DCA,13:00,20191126204307777
False,1.11,True,US,02/05/2014,1938,N766US,CLT,17:08,20191126204300197
False,0.0,False,US,10/10/2014,855,N654AW,PHX,10:10,20191126204301930
False,0.0,False,US,05/20/2014,1819,N945UW,PHL,10:30,20191126204311774
False,0.0,False,US,06/27/2014,2155,N965UW,LGA,16:00,20191126204315087
False,0.0,False,US,08/04/2014,2115,N802AW,DCA,13:00,20191126204309339
False,0.06,True,US,05/16/2014,1904,N715UW,CLT,05:00,20191126204311589
False,0.0,False,US,09/10/2014,1886,N832AW,PHL,20:30,20191126204315708
False,0.0,False,US,07/06/2014,1938,N750UW,CLT,17:05,20191126204317043
False,0.0,False,US,10/27/2014,1909,N951UW,PHL,05:30,20191126204302811
False,0.0,False,US,06/12/2014,2089,N967UW,PHL,17:00,20191126204314243
False,0.0,False,US,11/10/2014,681,N537UW,PHX,16:20,20191126204306546
False,0.31,True,US,10/11/2014,603,N642AW,PHX,16:35,20191126204301986
False,0.0,False,US,03/16/2014,1852,N722US,CLT,05:00,20191126204308338
False,0.0,False,US,05/13/2014,2051,N171US,PHL,07:00,20191126204311411
False,0.02,True,US,10/29/2014,456,N534UW,CLT,08:10,20191126204302911
False,0.0,False,US,10/06/2014,2155, ,LGA,16:00,20191126204301734
False,0.11,True,US,07/28/2014,2103,N765US,DCA,07:00,20191126204318227
False,0.0,False,US,03/22/2014,817,N157UW,PHL,06:30,20191126204308680
False,0.0,False,US,07/30/2014,1918,N961UW,PHL,17:00,20191126204318343
False,0.0,False,US,04/24/2014,1809,N953UW,PHL,09:30,20191126204305759
False,0.0,False,US,10/19/2014,738,N961UW,PHL,17:30,20191126204302385
False,0.0,False,US,05/07/2014,2113,N815AW,DCA,12:00,20191126204311111
False,0.26,True,US,04/04/2014,2115,N749US,DCA,13:00,20191126204304736
False,0.01,True,US,10/08/2014,647,N667AW,PHX,06:15,20191126204301802
False,0.43,True,US,03/12/2014,2129,N737US,DCA,20:00,20191126204308155
False,0.43,True,US,03/12/2014,740,N946UW,PHL,15:30,20191126204308120
False,0.0,False,US,11/11/2014,1809,N951UW,PHL,09:30,20191126204306616
False,0.0,False,US,06/12/2014,2127,N837AW,DCA,19:00,20191126204314257
True,0.02,True,US,06/17/2014,1819,N961UW,PHL,10:30,20191126204314486
False,0.0,False,US,09/28/2014,1885,N762US,CLT,17:05,20191126204316646
False,0.0,False,US,06/09/2014,2129,N805AW,DCA,20:00,20191126204314075
False,0.0,False,US,08/01/2014,2113,N767UW,DCA,12:00,20191126204309208
True,0.0,False,US,09/23/2014,738,N770UW,PHL,17:30,20191126204316371
False,0.0,False,US,05/21/2014,1819,N959UW,PHL,10:30,20191126204311835
False,0.0,False,US,12/16/2014,2127,N809AW,DCA,19:00,20191126204313168
False,0.0,False,US,10/13/2014,522,N655AW,CLT,09:45,20191126204302049
False,0.0,False,US,04/17/2014,2133,N948UW,LGA,06:00,20191126204305423
True,0.0,False,US,06/18/2014,2163,N965UW,LGA,20:00,20191126204314589
False,0.0,False,US,11/21/2014,1709,N578UW,CLT,06:05,20191126204307158
False,0.0,False,US,08/21/2014,1755,N959UW,PHL,19:30,20191126204310248
False,1.44,True,US,11/26/2014,1701,N951UW,PHL,08:30,20191126204307400
False,0.0,False,US,08/14/2014,800,N539UW,CLT,19:10,20191126204309874
False,0.0,False,US,06/29/2014,2127,N754UW,DCA,19:00,20191126204315151
False,0.0,False,US,02/24/2014,1904,N755US,CLT,05:00,20191126204301154
False,0.0,False,US,01/31/2014,2119,N714US,DCA,14:00,20191126204304499
False,0.0,False,US,11/05/2014,647,N664AW,PHX,06:15,20191126204306295
True,0.08,True,US,05/28/2014,2089,N963UW,PHL,17:00,20191126204312183
True,0.28,True,US,12/10/2014,2127,N760US,DCA,19:00,20191126204312874
False,0.0,False,US,07/24/2014,2056,N161UW,CLT,12:50,20191126204318032
False,0.0,False,US,04/20/2014,1852,N711UW,CLT,05:00,20191126204305539
False,0.0,False,US,08/10/2014,445,N561UW,CLT,06:10,20191126204309637
False,0.0,False,US,09/08/2014,1776,N961UW,PHL,14:30,20191126204315586
False,0.87,True,US,10/22/2014,1819,N954UW,PHL,10:30,20191126204302557
False,0.0,False,US,04/21/2014,2059,N161UW,CLT,11:13,20191126204305592
False,0.0,False,US,09/24/2014,2163,N965UW,LGA,20:00,20191126204316482
False,0.0,False,US,10/15/2014,2105,N837AW,DCA,08:00,20191126204302200
False,0.0,False,US,06/11/2014,1819,N950UW,PHL,10:30,20191126204314172
False,0.02,True,US,10/29/2014,2143,N958UW,LGA,10:00,20191126204302961
False,0.0,False,US,06/11/2014,2149,N944UW,LGA,13:00,20191126204314207
False,0.02,True,US,05/23/2014,2070,N558UW,CLT,12:45,20191126204311969
False,0.0,False,US,10/28/2014,1886,N812AW,PHL,20:30,20191126204302869
False,0.0,False,US,07/11/2014,2051,N519UW,PHL,07:00,20191126204317340
False,0.0,False,US,06/08/2014,447,N156UW,CLT,12:50,20191126204313992
False,0.23,True,US,04/23/2014,1817,N956UW,PHL,17:00,20191126204305699
False,0.11,True,US,01/21/2014,2157, ,LGA,17:00,20191126204303987
False,0.25,True,US,12/23/2014,2137,N961UW,LGA,07:00,20191126204313446
False,0.0,False,US,02/25/2014,2051, ,PHL,06:30,20191126204301218
False,0.26,True,US,04/04/2014,2113,N717UW,DCA,12:00,20191126204304735
False,0.0,False,US,05/11/2014,1799,N562UW,CLT,14:35,20191126204311296
False,0.0,False,US,04/01/2014,2119,N746UW,DCA,15:00,20191126204304555
False,0.44,True,US,03/31/2014,2111,N714US,DCA,11:00,20191126204309146
False,0.03,True,US,03/10/2014,2159,N949UW,LGA,18:00,20191126204308050
True,0.03,True,US,12/08/2014,2123,N835AW,DCA,17:00,20191126204312757
False,0.0,False,US,07/13/2014,2119,N802AW,DCA,15:00,20191126204317429
False,0.0,False,US,11/16/2014,2117,N763US,DCA,14:00,20191126204306893
False,0.0,False,US,07/25/2014,800,N507AY,CLT,19:10,20191126204318077
False,0.0,False,US,06/15/2014,752,N546UW,CLT,08:05,20191126204314373
False,0.0,False,US,06/18/2014,2115,N768US,DCA,13:00,20191126204314565
True,0.02,True,US,01/10/2014,1896,N954UW,PHL,16:30,20191126204303436
True,0.0,False,US,03/24/2014,1788,N575UW,CLT,19:10,20191126204308754
True,0.0,False,US,08/29/2014,1703,N959UW,PHL,13:30,20191126204310677
False,0.15,True,US,04/27/2014,728,N946UW,PHL,17:30,20191126204305895
False,0.0,False,US,09/27/2014,653,N672AW,PHX,13:15,20191126204316609
False,0.0,False,US,09/09/2014,714,N963UW,PHL,15:30,20191126204315636
False,0.0,False,US,11/18/2014,2159,N957UW,LGA,18:00,20191126204307022
False,0.44,True,US,03/31/2014,2121,N714US,DCA,16:00,20191126204309151
True,0.0,False,US,04/21/2014,2115,N732US,DCA,13:00,20191126204305600
False,0.03,True,US,03/10/2014,657,N602AW,CLT,09:40,20191126204307996
False,0.02,True,US,03/28/2014,1917,N565UW,PHL,07:30,20191126204309007
False,0.02,True,US,12/11/2014,2153,N949UW,LGA,15:00,20191126204312946
